strategy,return,beats_buy_hold,trades,max_drawdown,robust_score
ROC_20_th0,344.5910608896169,0.4722222222222222,0.4166666666666667,-0.30352074947576707,137.88703479767074
MA_Filter_EMA_50,171.8285343529206,0.4166666666666667,1.2777777777777777,-0.2996019338072539,68.76653316102606
Donchian_20_10,158.44472886656334,0.4166666666666667,0.0,-0.2588127470241333,63.425247722518094
Momentum_252d_th0pct,63.02661647276333,0.4166666666666667,0.5277777777777778,-0.29098552111288556,25.24835093277147
Donchian_55_20,37.28688323719734,0.3333333333333333,0.0,-0.24277290690424413,14.941921422807662
Momentum_126d_th5pct,25.143347676729217,0.3333333333333333,0.6666666666666666,-0.30410277085328247,10.066108239435703
MA_Cross_SMA_20_200,20.091719511732645,0.3055555555555556,0.0,-0.33200439058100595,8.028753154185422
MA_Filter_SMA_200,18.284171181659865,0.3055555555555556,0.5,-0.33704874021559117,7.304220517265936
MA_Cross_SMA_50_200,16.768288915895575,0.2222222222222222,0.027777777777777776,-0.34703898692188206,6.6698705369483315
Triple_MA_SMA_10_50_200,13.481676407933474,0.25,0.027777777777777776,-0.24514630728138304,5.394126670988975
MA_Cross_EMA_20_200,12.018527035714367,0.3888888888888889,0.1111111111111111,-0.30951191634097047,4.8312239060501225
BB_Rev_20_2.5std_upper,0.5510377265178078,0.3888888888888889,0.0,-0.3371086538255349,0.23594916112612935
RSI_Rev_14_30_70,0.36340813395113014,0.2222222222222222,0.0,-0.3318181237351181,0.11248448312658332
MomRev_252m_21r_th-5,0.17597598193142075,0.2222222222222222,0.2222222222222222,-0.1975249569894869,0.07779957234238889
TrendRev_MA200_RSI14_35_65,0.10026498411727053,0.2222222222222222,0.25,-0.12247165572300507,0.07003116359667336
RSI_Rev_14_25_75,0.1818726122272874,0.2222222222222222,0.0,-0.32932043012851114,0.04061958251902831
ZScore_60_entry2.0_exit0.0,0.15669821090100958,0.19444444444444445,0.0,-0.30451156487398423,0.029659148231541907
RSI_Bands_14_20_50,0.043623934588606285,0.19444444444444445,0.027777777777777776,-0.18948760647801255,0.018936625225372088
BB_Rev_20_2.0std_mean,0.02056838859861154,0.19444444444444445,0.19444444444444445,-0.29868224581366304,-0.023043984971320958
